ENDW_COMMi,PROD_COMMj,REGr,Value
capital,tsp,lam_l,0
capital,tsp,lam_m,0
capital,tsp,mea_h,0
capital,tsp,mea_m,0
capital,tsp,mex,0
capital,tsp,naf,0
capital,tsp,oas_cpa,0
capital,tsp,oas_l,0
capital,tsp,oas_m,0
capital,tsp,pak,0
capital,tsp,rus,0
capital,tsp,ssa_l,0
capital,tsp,ssa_m,0
capital,tsp,tur,0
capital,tsp,twn,0
capital,tsp,usa,0
capital,tsp,zaf,0
capital,twl,anuz,0
capital,twl,bra,0
capital,twl,can_xna,0
capital,twl,cas,0
capital,twl,chn,0
capital,twl,eeu,0
capital,twl,eeu_fsu,0
capital,twl,efta,0
capital,twl,eu12_h,0
capital,twl,eu12_m,0
capital,twl,eu15,0
capital,twl,idn,0
capital,twl,ind,0
capital,twl,jpn,0
capital,twl,kor,0
capital,twl,lam_l,0
capital,twl,lam_m,0
capital,twl,mea_h,0
capital,twl,mea_m,0
capital,twl,mex,0
capital,twl,naf,0
capital,twl,oas_cpa,0
capital,twl,oas_l,0
capital,twl,oas_m,0
capital,twl,pak,0
capital,twl,rus,0
